title,year,budget,gross_usa,gross_worldwide,runtime,rt_rating
Dr. No                         ,1962,8765288.08,128029264,474919245,110,95
From Russia With Love          ,1963,15728562.09,195034169.9,620491774.5,115,95
Goldfinger                     ,1964,23288419.35,396679409.7,969574525.8,110,99
Thunderball                    ,1965,68756285.71,485877752.4,1078709727,130,87
You Only Live Twice            ,1967,68447500,310535500,310535500,117,73
On Her Majesty's Secret Service,1969,45899972.75,149502768.4,573093945.5,140,81
Diamonds are Forever           ,1971,42781688.89,260255274.1,689260543.2,120,64
Live and Let Die               ,1973,37939842.34,191747074.3,684965024.8,121,65
The Man with the Golden Gun    ,1974,63456612.58,102370159.9,476412722.1,125,39
The Spy Who Loved Me           ,1977,55595016.5,185846198,736236861.4,125,80
Moonraker                      ,1979,112699697,207831500,210308099,126,60
For Your Eyes Only             ,1981,74126688.67,164931882.3,517033653.5,127,73
Octopussy                      ,1983,66443699.8,138693706.7,453025225.9,131,43
A View to a Kill               ,1985,67094888.48,111080264.4,341351865.2,131,38
The Living Daylights           ,1987,63551144.37,106123659.8,405032626.8,130,74
Licence to Kill                ,1989,62102451.61,64426459.26,303137591.9,133,78
Goldeneye                      ,1995,91584816.27,157793052.7,556131481,130,79
Tomorrow Never Dies            ,1997,164929408.1,187917579.4,499302894,119,56
The World is Not Enough        ,1999,195002070.8,183346233.7,522652350.3,128,52
Die Another Day                ,2002,189949271.8,215287620.5,362547583.3,133,56
Casino Royale                  ,2006,179052827.4,199877817.1,715072485.8,144,94
Quantum of Solace              ,2008,223542635.3,188187609.3,655081328.1,106,64
Skyfall                        ,2012,209628300.4,209628300.4,1161928805,143,92
Spectre                        ,2015,248752262.5,203138382.4,885836524,148,63
