Partij,Kerncentrales,Defensie,Leeftijd sekswerk omhoog,Profileren,Bouwen landbouwgrond,Euthanasie,Eigen risico,Rekeningrijden,Illegaal verblijf,Minder vee,Bijstand niet verhogen,Abortus,Stikstop,Kortere WW,Enkelband,Wolven,Onderzoek,Huurstijging,Plastic,Palestina,Publieke Omroep,Kinderbijslag,Controle religieuze les,Meer ontwikkelingshulp,LeeftijdSM,Statushouders,LelystadAirport,Leeftijd minloon omlaag,DemonstratieRegistratie,Hypotheekrente
VVD,2,2,0,0,2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
D66,2,2,2,2,2,0,2,2,0,0,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,0,2
GLPvdA,0,0,2,2,2,0,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,2,2,2,2,0,2,0,2
PVV,2,2,2,2,0,1,0,0,2,0,0,0,0,0,0,2,0,2,2,0,2,2,2,0,0,0,2,2,2,0
CDA,2,2,2,0,2,0,2,0,2,0,0,0,0,0,2,2,2,2,2,0,0,0,0,2,2,2,0,0,2,2
SP,0,0,0,2,2,0,0,0,0,0,0,2,2,0,2,0,2,2,2,2,0,0,2,2,2,2,0,2,0,2
FvD,2,0,2,0,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,2,2,0,0,0,0,0,2,0,0,0
PvdD,0,0,0,2,2,0,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,2,2,2,0,0,2,0,2
CU,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,2,2,0,2,2,2
Volt,2,0,0,2,2,0,2,2,0,2,2,2,2,0,2,2,2,2,0,2,0,0,0,2,2,2,0,2,0,2
Ja21,2,0,2,0,2,1,2,0,2,0,2,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
SGP,2,0,2,0,0,2,2,0,2,0,0,0,0,2,0,2,2,1,2,0,2,0,0,2,2,2,1,0,2,0
Denk,1,0,2,2,2,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,0,0,0,2,2,0,2,2,0,0
50Plus,2,0,2,0,2,0,0,0,2,0,0,2,0,0,2,2,0,2,2,0,0,0,2,0,2,0,0,2,2,0
BBB,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,2,0,2,0,2,0,0,2,0,0
Bij1,0,0,0,2,2,0,0,0,0,2,0,2,2,0,2,0,2,2,2,2,0,0,0,2,0,0,0,2,0,2
PP,0,0,0,2,2,0,0,0,0,2,0,2,2,0,2,0,2,2,2,2,0,2,0,0,0,0,0,2,0,2
BVNL,2,0,2,0,0,0,2,0,2,0,2,0,0,2,0,2,0,0,2,0,2,0,2,0,0,0,2,2,0,0
NSC,2,2,2,2,2,2,1,0,2,0,0,0,0,0,2,2,2,2,2,0,0,2,2,2,2,0,0,2,0,0
FNP,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,0,0,2,2,2,0,2,2,0
LP,2,0,0,2,2,0,0,2,2,0,2,2,0,2,2,2,0,0,2,0,2,0,0,0,0,2,2,0,0,0
DeLinie,2,2,2,2,2,0,0,0,2,0,0,2,0,0,2,2,2,2,2,0,2,0,0,0,0,0,2,0,0,0
VredeDieren,0,0,2,2,2,0,0,2,0,2,0,2,2,0,2,0,2,2,2,2,0,2,0,2,2,2,0,2,0,0
VV,2,0,0,2,2,0,0,0,0,0,2,2,0,1,2,2,0,0,2,0,2,2,0,0,0,0,2,0,0,2
