Partij,Vee,Benzine,EigenRisico,RegioKiezen,OV65,CO2,SuriVisum,Definsie2p,CultOnderwijs,Kerncentrales,Vliegtax,Kopenhuurw,KinderOpv,GezinsHer,VermogensTax,ContrReliGroep,Stikstof,Kostendeler,UitbredingEU,RisicoProfileren,ElektrAuto,MinLoon,BouwenLG,Referendum,Vuurwerk,Duurzaam,VoltooidLeven,Asiel,Huurstijging,MinStraf
VVD,0,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,2
D66,2,0,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,0,0,2,0,2,2,2,2,0,2,2,2,0
GLPvdA,2,0,2,0,0,0,2,2,2,0,2,2,2,0,2,2,2,2,0,2,0,2,2,2,2,0,2,0,2,0
PVV,0,2,2,0,2,0,0,0,0,2,0,2,2,2,2,2,0,0,2,0,2,2,0,2,0,2,1,2,2,2
CDA,0,2,0,2,0,0,2,2,0,2,2,2,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0
SP,0,2,2,0,2,0,2,0,2,0,0,0,2,0,2,2,0,2,2,2,2,2,2,2,0,2,0,0,2,0
FD,0,2,0,0,2,0,0,2,2,2,0,2,0,2,0,0,0,2,2,0,2,0,0,2,0,2,0,2,0,2
PvdD,2,0,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,2,2,2,0,2,2,2,2,2,2,0,2,0
CU,0,0,0,0,0,0,2,2,0,2,2,0,2,0,2,0,0,1,1,2,0,2,0,0,2,0,0,0,2,0
Volt,1,0,0,0,1,2,2,2,2,2,2,2,2,0,1,0,2,0,0,2,0,2,2,0,2,0,2,0,0,0
Ja21,0,2,0,2,0,0,0,2,0,2,2,1,0,2,0,2,0,0,2,0,2,0,1,2,0,2,0,2,0,2
SGP,0,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2
Denk,0,2,2,2,2,2,2,0,2,2,0,2,2,2,2,0,0,2,0,2,0,2,2,0,0,0,0,0,2,2
50Plus,0,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2
BBB,0,2,2,2,2,2,0,2,0,2,0,2,0,2,0,0,0,2,0,2,0,2,0,2,0,0,1,2,0,2
Bij1,2,2,2,0,2,0,2,0,2,0,0,0,2,0,2,0,2,2,0,2,2,2,2,0,2,1,2,0,2,0
PP,0,0,2,0,2,0,2,2,2,0,2,0,2,0,2,0,2,2,0,2,2,2,0,2,2,0,2,0,2,0
BVNL,0,2,2,2,2,0,2,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,0,2,0,2,2,2,0,2
NSC,0,2,0,2,0,0,2,2,0,2,2,0,2,2,0,0,0,0,0,2,2,0,0,2,0,2,0,2,0,0
Splinter,2,0,2,0,2,0,0,2,2,0,2,0,0,0,0,2,2,2,0,2,0,2,2,2,2,0,2,2,2,0
LP,0,2,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,2,2,0,2,2,2,0,0
Lef,2,0,2,0,2,0,2,0,2,0,2,2,2,0,2,2,2,2,0,2,2,2,1,2,2,2,2,0,2,0
SamenvNL,0,2,0,2,2,0,2,0,0,2,0,0,0,2,0,0,0,2,0,2,2,0,0,2,0,0,2,2,2,2
